,Province,gap_value
0,Shanghai,0.3714421410127726
1,Yunnan,-0.4936644913107644
2,Neimenggu,0.008818709558457094
3,Beijing,-1.0113392599093127
4,Jilin,-0.851247886175436
5,Sichuan,-1.4561357553953282
6,Tianjin,-0.09697345583577421
7,Ningxia,0.457215633994005
8,Anhui,-1.5914203987710955
9,Shandong,-1.7614436130058544
10,Shanxi,-1.1298163113883173
11,Guangdong,-1.6334808109092127
12,Guangxi,-1.746585021053693
13,Xinjiang,-1.3458088086431337
14,Jiangsu,-0.8020799085489267
15,Jiangxi,-1.0548200402408345
16,Hebei,-1.3983073912233017
17,Henan,-2.202944013542778
18,Zhejiang,-0.8620521030403951
19,Hainan,-0.8194147603457149
20,Hubei,-1.4014595088890887
21,Hunan,-1.815199329412314
22,Gansu,-0.6696624506878033
23,Fujian,0.006982261585973593
24,Xizang,-0.4648343678712199
25,Guizhou,-0.34098484688495834
26,Liaoning,0.06182091987168903
27,Chongqing,0.5225362133665583
28,Shaanxi,-0.8698564607349724
29,Qinghai,-1.2757978674778276
30,Heilongjiang,-1.2307023993149793
